,text
0,"<|endoftext|>Concatenate elements of a list 'x' of multiple integers to a single integer: sum(d * 10 ** i for i, d in enumerate(x[::-1]))<|endoftext|>"
1,"<|endoftext|>convert a list of integers into a single integer: r = int(''.join(map(str, x)))<|endoftext|>"
2,"<|endoftext|>convert a DateTime string back to a DateTime object of format '%Y-%m-%d %H:%M:%S.%f': datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')<|endoftext|>"
3,"<|endoftext|>get the average of a list values for each key in dictionary `d`): [(i, sum(j) / len(j)) for i, j in list(d.items())]<|endoftext|>"
4,"<|endoftext|>zip two lists `[1, 2]` and `[3, 4]` into a list of two tuples containing elements at the same index in each list: zip([1, 2], [3, 4])<|endoftext|>"
5,<|endoftext|>prepend string 'hello' to all items in list 'a': ['hello{0}'.format(i) for i in a]<|endoftext|>
6,"<|endoftext|>regex for repeating words in a string `s`: re.sub('(?<!\\S)((\\S+)(?:\\s+\\2))(?:\\s+\\2)+(?!\\S)', '\\1', s)<|endoftext|>"
7,"<|endoftext|>normalize a pandas dataframe `df` by row: df.div(df.sum(axis=1), axis=0)<|endoftext|>"
8,"<|endoftext|>swap values in a tuple/list inside a list `mylist`: map(lambda t: (t[1], t[0]), mylist)<|endoftext|>"
9,"<|endoftext|>Swap values in a tuple/list in list `mylist`: [(t[1], t[0]) for t in mylist]<|endoftext|>"
11,"<|endoftext|>find all occurrences of the pattern '\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+' within `strs`: re.findall('\\[[^\\]]*\\]|\\([^\\)]*\\)|""[^""]*""|\\S+', strs)<|endoftext|>"
12,"<|endoftext|>generate the combinations of 3 from a set `{1, 2, 3, 4}`: print(list(itertools.combinations({1, 2, 3, 4}, 3)))<|endoftext|>"
13,"<|endoftext|>add multiple columns `hour`, `weekday`, `weeknum` to pandas data frame `df` from lambda function `lambdafunc`: df[['hour', 'weekday', 'weeknum']] = df.apply(lambdafunc, axis=1)<|endoftext|>"
